isOpend,time,uid
True,1716549089231,03HAO5vU6BOlF3NSeYVTzyRaJ6W2
False,1716074949410,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1716029045487,
False,1717010824358,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1715961634982,
False,1716056247572,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1717931344124,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1715441279179,
True,1716742996457,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1717243582552,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
True,1714834673270,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1715356082982,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1717242885283,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
True,1716994973061,Px1wmpnT77OiXkoKZypvrs9YiIa2
False,1715765043329,t9cM4WpKxdhhI6qYJ4hOJv3klds2
False,1716333546383,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1715361947775,IwXqh3xp8hThQlDQH6wLJo39eS02
True,1716649316190,J8FQbcWNUUhOw7NDUBjnsI44b4t2
True,1716055612696,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
False,1717764982643,qnoyxSpFl7QfKaTyOGAp9Qkm5lM2
True,1715710229003,914umpyeZkY5lglo8KGumeZWF002
False,1716811368995,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
True,1714838742800,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1716062754181,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1716810749092,UA1M59C8H0UtN5oIYKGV9DYoXVI2
False,1716028618998,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
True,1717406714257,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
True,1714832264224,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1715791908071,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1715356261928,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1717782586291,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1716461961291,4OU8k1M6xDaTwc4nbaCoRBE96wt1
False,1716532549735,4OU8k1M6xDaTwc4nbaCoRBE96wt1
True,1716648172251,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1716827516028,IwXqh3xp8hThQlDQH6wLJo39eS02
False,1714836012656,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
True,1716832911047,IwXqh3xp8hThQlDQH6wLJo39eS02
True,1716046193600,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1716028958725,
False,1717503379299,omfHlCaqhLN7VprUtxb6IsvPNcr2
False,1717243187531,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1715441629602,
False,1717677613785,j1jWB00cpfQqRcebA5qcsGkPsyX2
False,1716029925419,914umpyeZkY5lglo8KGumeZWF002
True,1715438960505,914umpyeZkY5lglo8KGumeZWF002
False,1717930897432,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1714836415120,914umpyeZkY5lglo8KGumeZWF002
False,1717604980149,313VQeWKBWVSt90xfJKK0Y803ga2
False,1716127112981,
True,1714825053563,IwXqh3xp8hThQlDQH6wLJo39eS02
True,1716043087905,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1716133318452,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1716638611285,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1715847358697,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1715766395400,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1715963580742,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1716994930248,Px1wmpnT77OiXkoKZypvrs9YiIa2
False,1716532550898,4OU8k1M6xDaTwc4nbaCoRBE96wt1
True,1716828645800,IwXqh3xp8hThQlDQH6wLJo39eS02
False,1716613082989,
True,1715949127640,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1714835800527,IwXqh3xp8hThQlDQH6wLJo39eS02
True,1715787041812,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716963516898,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1716632957254,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1717006263419,DFZU3UfzhgRM1sHo3poKO1nioqF2
False,1716980491120,8H4CV34KQHgrMj1DLy4J2NwlF5e2
False,1717061123967,X5pSoHXR7oa4XH90Mg3huDaWASt1
False,1716536380692,OFfw0tOPqLfFbMCfwNoVYcxKNJf1
False,1716027082848,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1717503534211,omfHlCaqhLN7VprUtxb6IsvPNcr2
True,1714827787557,SF41IxDyM4RSbTEsLNV1TP7JhdE2
False,1716122160935,
True,1714835593479,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1716049686183,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1715707198561,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1715491643410,
True,1715954964984,GLOi2DWR7seNFkuttoWH3m78CX12
True,1715536162798,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716637480419,I6elAlW14FXyawwu9ri0ANirM0x1
True,1715785806324,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1715872229734,914umpyeZkY5lglo8KGumeZWF002
False,1716063144357,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
True,1715786533642,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1718022151587,
False,1717487583580,
False,1717964279232,313VQeWKBWVSt90xfJKK0Y803ga2
False,1715632170031,IwXqh3xp8hThQlDQH6wLJo39eS02
True,1717761999021,313VQeWKBWVSt90xfJKK0Y803ga2
False,1716994744685,Px1wmpnT77OiXkoKZypvrs9YiIa2
True,1716027184993,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716074118914,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
True,1715953591058,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1716062885747,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1716388440705,
False,1717144464305,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
False,1716070329717,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1715354271005,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716640710706,
True,1715765050888,t9cM4WpKxdhhI6qYJ4hOJv3klds2
True,1716465810207,axYHQ2yjnTdwLf6R7eP5LKm82Y53
False,1716116587081,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1714827316419,
True,1716044997950,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
False,1715710009778,
True,1715791841141,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1717085124834,IwXqh3xp8hThQlDQH6wLJo39eS02
False,1716127320693,
False,1715790188936,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1715632630394,IwXqh3xp8hThQlDQH6wLJo39eS02
True,1715344745978,914umpyeZkY5lglo8KGumeZWF002
False,1716045450478,
False,1717061177462,X5pSoHXR7oa4XH90Mg3huDaWASt1
False,1716637864037,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1715961606194,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1715953727090,313VQeWKBWVSt90xfJKK0Y803ga2
True,1716743653018,AkK9DilFPCOis7c5aImtHk8Ui5m1
False,1717280696863,
True,1715947585959,914umpyeZkY5lglo8KGumeZWF002
False,1716049580327,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
True,1716476019294,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716033977169,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1715361954366,IwXqh3xp8hThQlDQH6wLJo39eS02
False,1716937216573,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
,1713956142918,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1714836225479,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1715249367966,IwXqh3xp8hThQlDQH6wLJo39eS02
False,1714834667987,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1715757683042,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1716744631674,IwXqh3xp8hThQlDQH6wLJo39eS02
True,1717242696035,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1717487549478,
False,1716648026126,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1716461421665,4OU8k1M6xDaTwc4nbaCoRBE96wt1
True,1715352063133,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1717439399237,xd90PSoHbugHnzRD3eqHotP076X2
True,1716124086696,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1715763536360,
False,1716639664300,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1714826386574,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1717349266673,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
True,1715886195685,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1715956227009,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1715896660989,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
True,1717763360889,J8FQbcWNUUhOw7NDUBjnsI44b4t2
True,1716056423430,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1716207847531,
True,1714826088733,IwXqh3xp8hThQlDQH6wLJo39eS02
False,1716333058169,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
True,1715956616846,b6aunqCXt4RLfdmcQLxYZR1F6W33
False,1716057972098,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
False,1716076635303,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1716048875847,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
True,1717929978549,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1716029881854,914umpyeZkY5lglo8KGumeZWF002
False,1716106136859,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1714826032414,
False,1716056720271,
False,1717774892356,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1717931029782,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1715951457524,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716049123237,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1716637467921,I6elAlW14FXyawwu9ri0ANirM0x1
True,1714832270818,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1716030625335,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1716532096611,4OU8k1M6xDaTwc4nbaCoRBE96wt1
False,1717327292794,
False,1716937172955,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
True,1716047629066,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
True,1715891570803,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1716635227026,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1715763916847,
False,1716056628812,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1717764117439,J8FQbcWNUUhOw7NDUBjnsI44b4t2
False,1716826846283,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1718023692274,11gwRhxyjDXP8bToBSnEbAXzfR62
False,1715953550330,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1716652491711,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1715957009634,b6aunqCXt4RLfdmcQLxYZR1F6W33
False,1716136154214,ldBmjwfJ4nao6I0c3QkSWVyxInC3
False,1715957115930,
True,1716075641005,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1716641181765,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1715491644295,
True,1715949163884,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716233932245,uemnt3PK12UzfqRGT2c5YkrPJMr1
True,1717243445210,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
True,1715680306842,IwXqh3xp8hThQlDQH6wLJo39eS02
False,1716636614972,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1716072151661,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
True,1715788270202,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1715886687879,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1716029845036,914umpyeZkY5lglo8KGumeZWF002
False,1716796463713,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
False,1716073710768,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1715766211127,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
True,1717774725650,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716549390659,VulbuFlwrTdFHxGh5d7aSZ9y17c2
False,1716536283525,OFfw0tOPqLfFbMCfwNoVYcxKNJf1
,1714387080068,914umpyeZkY5lglo8KGumeZWF002
False,1715951227099,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716198645603,
,1714409444862,914umpyeZkY5lglo8KGumeZWF002
False,1714836540366,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716055144234,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1716045126787,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
False,1716096731610,
True,1716533931514,4OU8k1M6xDaTwc4nbaCoRBE96wt1
False,1715353539465,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716029880812,914umpyeZkY5lglo8KGumeZWF002
False,1715855022555,914umpyeZkY5lglo8KGumeZWF002
False,1716056738780,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
,1714642267918,914umpyeZkY5lglo8KGumeZWF002
True,1716031743056,xgDgsGLYg7UttGQHjZ1cYneETio1
False,1716106183144,
False,1716805768847,VACXPdk4TsUF70UeduW2icfq9X62
False,1715840124224,
True,1714831850098,z5Vl3tUSRgalHfSho6JFNkpjxpn1
False,1716755699774,4OU8k1M6xDaTwc4nbaCoRBE96wt1
True,1716532421273,4OU8k1M6xDaTwc4nbaCoRBE96wt1
True,1715886022277,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1716226590801,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1716032538356,
False,1715100116888,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1716743156566,AkK9DilFPCOis7c5aImtHk8Ui5m1
False,1716994934817,Px1wmpnT77OiXkoKZypvrs9YiIa2
False,1716073169273,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1716062806647,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
True,1716132399707,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1715896559972,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1717351838690,2Dnk3xqJF6NF4ZJWcA7f2zrlnO13
True,1716474124871,O2XVZMacTGYqtKj6BTP6oJPX9cq2
False,1716055612907,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
False,1714829708461,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
False,1717483484536,IwXqh3xp8hThQlDQH6wLJo39eS02
True,1717351902967,2Dnk3xqJF6NF4ZJWcA7f2zrlnO13
False,1716067203236,yK8bHykMuPg4KqJof3jeuMI7Dn72
False,1717930130254,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1714834007886,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1717584577731,
False,1717930014776,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1
False,1716734588293,
False,1714833010091,z5Vl3tUSRgalHfSho6JFNkpjxpn1
True,1716533204448,4OU8k1M6xDaTwc4nbaCoRBE96wt1
False,1716474387885,O2XVZMacTGYqtKj6BTP6oJPX9cq2
False,1716283316211,HRlzktBMSpQHtMD2P0Rm7KcXber2
True,1716073183560,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1716132756230,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
True,1716063398288,uXnnBb0D5yZiOrroCy3JCZ6FxPR2
False,1717494710259,r4uAkw35sxMJVTxx21DUWW4P5HB3
True,1716635229384,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
